        2000     0.000000
    7.869419    -6.337518    17.208436
   -5.875952     8.381249    -6.716951
  -12.577254     4.390848   -21.333858
   -5.013369   -19.256093   -11.122903
  -11.038432   -15.342561    -0.556974
   -8.259841     1.993805     9.487846
    2.377672    -0.170157   -16.030839
  -12.134135     7.149244   -13.286004
   -0.314789     0.184188    -2.288700
    7.863307   -16.482343    -5.571728
    2.807690    16.303383   -13.627846
  -11.127230    15.264768   -12.863713
    1.527009    18.327823    10.456239
   18.210127    -4.755516    -0.923930
  -10.310442    -3.877030   -13.810680
    6.238872   -16.777504    -0.669570
    3.599537     1.791830    11.682089
    9.459833     2.045299    -4.860192
   -5.993466    -1.799750   -10.962054
  -11.323593    14.870634    13.945437
   19.748308     4.704276     1.702272
   22.869626    -6.368609     9.676828
    9.548428   -19.882448     2.994271
  -16.604701    -9.409667   -17.022302
    1.453965    17.353571     4.115265
   -5.038001    -5.816199    18.288614
    6.336118    -9.625546    -2.392460
  -19.804056    10.901761     3.133363
    9.015808     2.855216    -1.020739
    3.991846    16.653478   -10.779450
   19.243313     7.572292     2.765481
  -20.596843    -3.518464     9.155393
    9.707989     8.342988     4.027738
   10.968411    14.425886    -3.591861
   -1.570602   -10.096861    -2.053858
  -11.972327     3.786601    -4.556785
   -9.901094    -4.660161    -2.049942
   -0.571444    -0.130951   -14.405818
   -8.653247     6.448195    17.510773
   -0.489230    -8.311888    -4.988799
    7.715373   -14.310405     7.633099
  -13.442140    -1.379085    -8.103925
    1.943877    -9.285239     4.578478
    4.439127    19.868424   -15.481969
    8.698538     1.948899    -2.690136
    3.879613    16.851153     8.113519
    2.648934    -9.276708    11.339755
   -2.571748     9.658327     9.530255
   -4.473045   -15.082488    -6.483330
   15.868882    -8.381911    14.633059
   13.528674     7.276807    -4.889005
   21.875763   -11.272794    -5.182413
   -0.966027   -15.648271    -9.352011
   -3.359195    21.380474    -7.235689
  -13.716529     9.472413    -1.858769
   -2.471845    18.191894    16.568272
    2.477135    -6.506479     4.334075
   -9.207966    -4.393397    10.320653
    1.460740    -2.514029     8.376007
   -7.849033     6.019933    -7.607575
    2.638168    -1.529148    -2.031569
  -14.815431   -15.634186     0.227903
   -2.098265    -5.525148    -2.698596
   -3.057089    -9.995468     3.065921
  -16.583044     2.685398    -0.006479
   -4.866708     1.918756    14.610947
   14.974348    -6.640808    13.129447
    3.478856     0.125964    19.790071
   -2.204847     0.016173     4.720537
  -15.205702     6.397394   -10.504508
    0.816472     8.783292     2.439841
    2.213956     4.615185    -2.962365
    2.055509     7.970374     3.850312
   -9.867179   -11.050000    -3.442842
    0.379754    -1.528802     4.011446
   -3.661047     3.135717    -1.196994
   14.667049    -3.971790    17.486151
    8.083687   -14.726973     6.716837
  -12.047544     5.376937    12.839530
   -1.321482     7.212295    -4.595274
   -9.735458     3.805307    12.375381
   12.408634    20.973952    -2.008987
   21.232443    -3.967034     4.901988
   -6.871480     0.269136    -5.465203
  -18.272057     4.630392     4.272328
   -6.147840    12.174626    14.767736
    8.265141    17.727127     7.353657
   15.191520   -15.001471    -0.263506
  -13.620449     6.299622     5.238848
  -19.488545     6.275614     5.773618
    0.494584    -2.569988    -9.104873
  -10.096968    -9.267866     4.372763
   -7.971865    -2.308250    -4.026018
   -3.409090     0.120598     4.115213
    3.051587    -7.755626     7.921844
    4.905707     1.111625   -15.226120
  -10.217518     6.051723    18.806435
    9.401238    11.256151     8.938762
    3.130778    10.218703    18.858502
   -5.447188   -12.523649    19.497174
    9.957827     4.920962    -3.135307
   -1.254714    -0.770903    -8.969497
  -14.014646     1.472472     9.869987
    7.690034    -0.024610    21.914520
   -2.966908    15.049895    -5.684059
   -2.671518    -9.685642    -2.083380
    0.436799    10.632743    14.754502
   -0.753263     2.861348    -6.957290
   15.042530   -15.582220    12.161687
    3.753467    11.825220    12.165963
   -0.866746    -5.008189    15.166828
   -0.215315    -7.041912   -18.968130
   -0.709595    -2.424886    -5.863636
   -2.791136     9.277122    11.451183
   -6.090238   -14.121768     7.270157
   -9.444563     6.961961    -9.877367
    7.050195    17.061851    -2.475170
  -13.770988   -18.712941    -7.379081
   -0.520135     0.184171     8.299913
    8.945551     9.132164   -17.173410
    8.330415    22.286454     1.451896
   -1.080847    16.931637     1.718440
   -1.147406    14.130143   -11.667206
  -15.612851    -4.851572   -14.240947
    5.971125    10.716917   -10.745684
   -3.845570     1.913213    -7.972312
    4.472432     4.004384    22.798555
   -2.731830    -3.721915    15.426378
   -8.451581     1.204136    -8.668157
   15.828520     9.167167    -0.816586
   12.201857    -4.636213    15.005215
   -4.305640    -2.586570     3.374960
    4.494582    -4.410309    -1.946878
  -14.774650     9.438280     6.073440
   -3.897719    13.325247    -5.590090
   -0.690525    10.311503     6.697943
    9.836692   -14.348969    15.238682
   14.549799    10.743820    -1.594983
   14.972229     2.420930    17.487087
  -16.218137    -4.724649    -0.234104
   -3.354031    -9.286101    11.989405
   -7.810916    -4.822861     1.774277
   -3.292462   -11.142974     2.382162
    5.226350    13.274707    -0.351007
   12.887422   -21.882561   -11.469829
   -0.654171     0.576928     0.781431
    9.510141    -6.820427    -7.704922
   -6.785045    12.240357    -1.221995
   12.013598     1.524427    -4.373527
   -1.365091   -11.459247   -17.619631
    6.957554    11.010111    -2.887266
   10.247071    -6.773829    -2.483441
   -0.566270     2.585903    -5.324512
    1.089874     7.504603    -6.171152
   -1.831339    -7.790483     8.609428
    9.274145    -2.228360   -14.319819
   11.370085    13.440983    13.918131
   -4.848019    -6.788910   -14.514194
   17.398716     9.395171     2.062346
   10.176167    -6.707738    15.552990
  -14.375592    12.125166   -11.143193
    0.517465    -7.608693    -0.890132
   -1.193889    13.735918     4.726593
    4.328873    16.804103    -2.406579
   -2.040517    -8.724695     0.385880
    2.192747     5.455101   -12.423116
   -9.262657    19.094427    -5.076107
   -7.731252    -1.792166    -8.758167
  -12.296274   -15.819571     1.640972
   -9.363232     2.122047     4.283230
    2.268149     5.209832    18.712590
  -12.083827    10.033401    -4.941974
    4.807901   -13.787804     3.622827
   -1.994876   -12.536395    14.755746
   -9.389102    21.387302     1.950143
   10.746106    20.125035     2.372020
    3.488533     6.051879   -10.969965
   -5.535260   -10.203147   -13.672002
    4.855361    -2.973963     0.644955
    0.374500     6.007789    -0.497746
   -2.485147     1.626296   -12.153311
    7.043955    -0.091937    -9.711335
  -19.994827    -0.789957     3.806501
   -4.751066     6.198837     0.919268
  -11.298889    18.857549    -4.865102
   -5.950541     9.396714     0.652921
   21.355829   -16.772515   -12.899168
  -17.353646   -14.441351     5.093204
    3.088334    -7.799820    -5.316083
    4.885023     5.499745     3.320091
    1.752368    -1.729717     8.534999
    2.742113   -14.282067     6.164579
   10.158909    -1.861181    -8.808567
   11.867045     2.694102    -5.323375
   12.421240   -11.854578   -12.361850
   -7.767300    -4.826204     0.439802
    1.369067    17.598543    -1.173580
    2.491584    -4.581690     5.571855
   -0.395171   -11.095459    20.978109
  -15.882688    -3.161225   -22.260639
   -5.700304     1.378529    -0.900881
   10.292959   -17.156007    -7.669662
   -1.083129   -11.242219    20.588476
    4.395751    10.005844    12.763563
   -0.841364     6.920387    -3.182903
    0.207114    -6.768489     7.538479
   -8.210695     7.079576     4.321360
   -1.960583     8.303353    -9.398203
   14.057464   -20.725825     9.352880
  -10.438588    11.663204    -0.385497
    7.228476    -2.718315   -12.021762
   -9.852104    -7.326278    11.755743
   -7.941901   -15.702200     0.396244
   -3.636831   -11.036403   -15.368472
    8.790538     0.734951   -12.673082
  -16.538889    -3.467338    -6.132052
    6.363902    -7.240138   -13.117418
   -2.452839    -1.360048   -12.755089
   13.407521   -15.210700     3.596844
  -13.161154    12.649009   -11.457482
    5.924916    -4.321321     6.848452
   18.891667    13.415481    -7.210584
    6.074374    12.928868    -7.105321
    6.120410    -5.889992     9.546377
  -14.945819    -6.225798   -14.326138
   -4.855509     6.077360   -16.678409
   -0.457747   -20.094514   -13.352856
    8.614115     3.420889     2.126981
    0.935961    -9.085535   -15.625322
   11.117414     2.357190     4.615157
    0.257763     3.934160    -0.848059
   -8.790305     5.676588   -12.266949
   -4.048517     6.549999    -2.339157
  -19.791460    -5.345665   -13.971719
    4.503332   -18.386467    -1.329200
   -4.070595     4.245869   -10.880929
   -5.938404     9.554585     2.013339
    6.788499    -3.423235   -14.909784
    4.231537    14.103017   -16.984426
  -10.266601     9.972632     8.364930
    3.201170   -19.895437     5.985132
  -16.114341    -2.605452    -3.854561
  -12.657823    -0.824845   -18.774823
   -0.754881     3.229251     0.580975
  -15.202099     5.011765    -8.729688
    2.247394    11.977206     7.517442
    8.016464    -1.022467     1.972034
   -4.947746     3.829972    -6.316094
   -0.730609     2.781153    -7.879689
    4.067189     2.683427     1.256636
   -4.334343    -1.466151    -5.084026
    4.193675    -4.137798    -9.052749
   11.558573    -7.954150    -8.341950
    1.273517    17.032186    -8.253677
   10.063528     1.596041    -1.294468
    4.334208    -9.346293     2.896926
   -5.233162    19.115588     0.145025
   -1.305022    -8.242582    13.492326
    7.303531   -11.858331     1.140703
   -5.078812   -15.821266     8.516278
   17.098234    -3.932180    12.008520
    0.551844    -6.116985    11.804743
   14.225695    10.120114    -7.855946
    7.527462   -11.636031    -8.880461
    2.273839    -3.735817     8.181638
  -13.708775     4.620344    -3.639095
   -5.497446   -17.681970   -13.844112
   21.521015    -1.839439   -21.369610
    5.130424     0.052543    14.999600
   -1.455905     9.578637     4.489323
  -23.354688   -10.855133    -4.819127
   -2.175715    -9.620365   -14.163970
  -12.671690     2.990756    -5.277625
   -2.036523    12.939224     6.024766
    1.609642    -5.742786     2.829103
   -8.153571    -5.904458    -1.418052
   10.781970     0.280243     0.137031
  -11.154745    -9.837446   -13.112627
    0.215262     9.858183    -7.688519
    9.568499     6.288557    15.606902
   -3.443524    -5.398198     2.051730
  -18.190911   -19.498445    -4.823220
   -7.651608    -6.944326     7.099056
    5.530114    -1.381618    17.793097
   -5.159336    -7.440790    13.453043
   20.948491    -8.074284    -2.565185
   16.454131   -18.803357   -12.591598
   18.057460     1.189268    -3.673324
   -2.571813   -11.843935    -0.827596
   13.556172   -20.180538     2.618985
  -15.511524    -1.255848   -13.112541
  -11.353822    -4.545510    -6.423608
   13.990148    -0.797047     4.559418
   -1.637411     0.703633    13.322292
   23.085622   -10.834657    -6.229754
  -18.663404   -20.365295     6.060192
  -16.525870    -8.765204    -6.131438
   15.701949    22.041674     8.795812
   -7.971164   -10.134211    10.085554
   13.529801    -9.998504    -9.513558
    7.255848     1.370081    -1.955517
   -3.211796    -8.023121     3.625276
    9.673790   -15.997929     8.123898
   -9.762977     6.842674    12.486843
  -12.145919     0.596609    14.055842
    1.680143    -3.362547   -17.045736
   -8.280914     5.295239    -4.006614
    2.453993   -13.801991    -6.252679
  -12.185904     2.231818     0.204320
   -8.796487    14.856762   -18.968926
  -12.059478   -16.298984    -6.537476
    5.755377     0.924550    -7.783087
   -6.950940   -12.691789     2.825227
   -0.228386    17.032853     6.273355
    3.693703   -12.467419    -7.882656
    7.838595     1.930499    -8.583875
  -12.778334     7.485571    12.208828
    0.866881     0.393211   -16.925713
    8.302941   -16.937431    -4.497727
   -9.948350    18.935481    10.271190
   -8.722645    12.415888     7.196002
   15.147595     6.175222    17.869751
    0.542724     0.100372     1.529886
  -11.925387     2.078649   -15.711841
   11.115470     8.024107     2.116374
    0.684318   -10.139123   -16.691037
   -5.057557    15.604693     5.709662
    1.256200    12.117349    -2.874620
   -2.329897    -9.751951   -13.892807
    2.064852     9.021995    -4.579579
    6.889110     5.937750   -18.468284
  -13.242765   -13.343573    -6.567145
  -12.913017     1.316446    -8.357216
   -4.539773    -4.412622    -8.859119
  -12.082994     2.959133    -0.979598
    5.073117     0.999796     8.139360
   -3.976443    13.165017    14.214130
    3.445334    13.383419   -16.026732
  -12.971505    22.101629     8.851913
  -11.122173     2.425373   -21.611000
   -3.961250    13.168906    -1.992269
    8.787358    -2.939182    -0.426241
   20.451138     2.107585     1.271737
   10.486759   -14.105061     3.433987
  -10.105921    15.483292     7.094654
    4.225599    -8.579391    -1.820034
   10.355078    -9.026398     7.491176
   14.231612    15.058998     4.608409
   10.203902     6.914057    -2.395717
   -6.569858    -4.226201    -1.197780
   10.136453    -8.129323     6.369909
   -1.036986    -0.907364     4.712651
   10.253823    18.129492   -12.144872
  -14.415148    -8.311137    -2.766805
    6.944094     6.079343     0.480445
  -10.256910    -3.349827   -13.074058
  -20.382001     8.128634    -2.954101
   -4.499222    -8.435446   -12.901366
   12.060466    11.889320    10.182672
  -10.490200   -10.995005    -9.046611
   -0.671420    13.152918    -1.650139
   -6.807706    -3.778735    -5.496151
    5.017732    -1.039778     4.333596
    7.702829     1.891129    14.923510
   -2.312851    -6.534073    -3.024990
   -4.814887   -10.999284     2.392909
   -6.910512     2.874964   -14.870870
  -20.352896     3.406092   -17.948501
    9.978414    -4.184595    -1.920776
   14.503498    13.234095    -9.731566
   -3.421634    -6.548178     0.254680
    4.659502    17.051286     2.065976
   13.978116     1.503920     0.442498
   -3.874656    15.272290    21.035355
    1.507544     7.781781    11.762425
   -0.439117     8.652969     6.210878
   -3.861828   -15.039652    11.473133
    5.614648     2.293815     9.201558
   -3.464593    -0.031288    -1.670285
  -14.058387     0.003138   -11.213864
    9.294182    -2.320842    -4.787004
    7.991432   -14.268237     7.887226
   -3.102627   -20.454240    -4.910213
   -8.563735     9.022869    -9.288773
   14.751947   -19.094814     8.058661
   -9.150565    -4.171284    -1.091298
    1.704924    -0.181011     3.486003
    0.863525    10.061637     8.766691
   13.456464     1.900366    14.368344
   -4.164650    -2.453403   -11.325542
   -0.214063   -20.311711   -10.518063
   -5.395439   -20.110326    -1.916914
   -3.934186    21.369783    -5.389362
    0.733119     8.902399     4.253882
   -0.365873    -4.600091   -10.121006
    5.445631     3.882368    -8.224709
   -4.236932   -14.431911    -9.549599
  -13.467500    -8.491152     3.431550
    7.494254    -2.346677    12.167081
    1.705500     7.022448     5.359799
   -2.776605    11.288537     5.830906
  -10.967356    -8.248512    -6.263920
   -5.643702    -6.829433     7.623188
    3.967342     4.066957   -15.227215
   -7.967530    -3.449898   -14.109767
   -2.911274    -0.621932   -13.248195
    6.636335    -9.700386   -18.849675
   -6.696618     7.826166     0.689305
   -7.788855   -18.011541     0.220500
    4.170913    13.722808     4.031330
  -19.074564     5.394858   -20.021511
    8.571047    -5.130393    11.424587
   -8.370458   -18.646370     2.659120
    4.686028     5.629608    -6.283404
   16.562734    -0.584039     8.278901
    6.549572    22.751221    -4.719317
    1.701473     1.699485     1.276784
   -3.281201    -6.322271    11.995893
  -19.163256   -11.581109     0.359868
   11.048768    19.005569     2.786328
   -1.322932    -3.440120    -1.451132
    4.328763    -6.947243    19.234684
  -20.305884     4.077636     4.284716
   -1.135011     3.718317    -4.574239
    3.004891   -15.518078    18.521075
    7.729547    14.655190     4.899915
    9.404674    10.702564   -21.726751
   -6.260703    -0.683226    -2.103008
   -1.004497    -0.975054   -16.742281
    9.116880     9.214421    -3.363729
  -18.165761   -13.701392    21.118832
   10.510557     5.696394    -6.182046
   19.697250    -8.076763    11.447431
  -11.925781   -13.214494     5.833973
    2.901765     1.653738    -7.001115
   -3.786883   -11.839141    -5.383948
   -1.676543     6.247872     8.103269
  -21.775962    -3.617878    -8.120359
  -13.983538    11.341895    -7.407096
   20.924034     2.621530    -7.734475
    6.247740   -17.803233   -10.003930
   -9.457634     9.262036    13.284610
   -5.034754   -16.796675    -6.146026
  -22.212771     3.660135   -16.479897
   -0.866127     2.059691     1.982979
   -8.493672    11.252651   -13.873646
  -13.098473    -7.237062    -2.589619
   11.480736    -4.315611   -18.130484
   -0.113818     1.040737    -0.832568
    0.002178    11.381806    -2.570527
    9.610136     2.790420    -1.475199
    9.087566    -8.959326     5.141159
    6.416802     8.212322    -8.945954
    5.331299    -1.893323     6.342624
    2.094094    -2.233664     2.066455
   -3.829566    -6.437914     9.538320
   11.081192    -7.520853   -13.701243
   14.299638    -4.589451   -10.135874
  -15.315283     8.265089     4.952623
   15.671446     0.164735     3.066252
    7.238090     7.114137     7.745681
    5.519041    -9.727708    -5.639027
    8.105513    -7.349622     1.598609
   13.836189     6.211452     1.944291
   16.750448    -1.335912    -1.979630
  -15.178584    -1.249091    20.295021
  -24.297062   -11.534390     3.995860
    1.666940    18.459136     7.537580
   -1.931650    18.385413    -8.278142
   -1.991345     7.496548    -5.729878
    7.635769   -14.592239     7.711839
  -15.898724    18.067145     4.806952
   14.476296     4.990983    -8.863633
  -13.810446   -12.420526   -22.262723
   20.001843     6.097918    16.936867
   14.586192    -8.299557     9.320719
  -14.290061   -13.015649    -8.795768
    5.933398   -20.082406     0.394363
  -10.491567    -4.029167   -14.628495
    6.583671     4.035929     7.292836
   -8.991202    -8.773795    -5.837974
   -9.515845     7.336465    -3.690072
    2.981599     5.372512    -5.709479
    9.565464   -16.682968    -1.245630
    8.566898     6.394168     8.383022
    3.329585    -7.194169   -10.250449
    7.854647     4.253830    12.835512
   -6.422481   -19.869949     8.863445
   21.112154    -5.193054    -0.421073
   13.104348    14.368642    17.294199
   -4.121510   -15.863993    -8.533423
    7.125454    -2.522390    -5.592816
    4.269998     2.708321    -1.973138
    7.678421     0.014949     5.845193
    7.900557     9.917303    -3.909383
  -18.489645    -1.239876    10.273977
   12.577492    10.804441    -3.278415
  -15.186735   -10.750661     5.202697
  -11.517891    10.381455     7.586875
   -6.680088   -11.109336    14.273375
    1.580207    -5.293611    -0.073142
   -8.490649     8.044288     2.107062
    4.772184     0.231619    14.329329
    3.360968     8.261792    -4.468851
    0.592643    -7.071600     4.291740
    9.362889     9.144941     7.533060
  -18.227891     3.744598    -9.981822
   14.282997    -3.687929    14.214566
   -3.868776    -1.195285    -2.128017
   -3.560003    -2.304133    -3.892001
    3.283820    -7.960227    16.655155
   20.608817    -7.170195    -3.700389
   -6.245712    12.028778    15.870226
   18.755049    -0.989475     8.699852
   -4.755650    17.240735    -1.980293
    2.763498   -15.811376     4.106235
  -20.428984     3.539115   -21.241859
    5.240668    -7.992732     7.209021
    0.152144   -21.892182     5.244986
    4.992786     4.048470     1.585320
   -6.859082    -4.158989    13.530432
  -12.641505    11.755539     5.254515
   11.901818   -17.466843     1.781409
   -0.445631     9.794996    16.320979
    9.053145    -2.862289    -2.250252
    3.481703    -3.798398    -3.923023
  -13.419707     2.977557    -9.774544
    1.008995    -9.871842    -1.679986
    4.403365   -19.722631     9.151428
   -3.444640   -19.861648    -3.906465
    0.782408   -12.918863    20.611331
   10.483140    -3.048363     7.683727
   10.506145    14.864409    -8.017189
  -20.517949     0.889864   -19.982664
  -16.314711     3.881127    -3.745890
    2.678305    11.639251     1.182109
  -11.144056    -8.607355     6.001564
    7.436031   -10.913121    -4.202603
   10.292044     1.122229     6.664543
  -16.485242    -5.005531    16.107870
   17.060711    15.771682    15.664184
    4.906820   -17.642182    10.157453
   -6.009299   -15.572758    -1.517312
  -18.100173     6.995572     2.087160
    3.414609    -8.334813   -15.425988
    5.052376   -15.437329   -13.726909
   14.683742     1.667202    14.628576
   13.978976    -9.082417    -0.952986
  -10.180056    18.153787    -1.152306
    6.217271     8.212057    -6.163285
   -3.244184    19.717225     4.659128
   -3.005594    -3.924027     9.859721
   -1.284074    10.334873   -21.130928
  -12.774525   -11.475493   -14.638507
   11.046438   -20.132627    -7.664336
  -22.388860     7.105513    -3.626149
  -11.337350    -5.892846   -13.229364
    3.100673   -12.890117   -10.567114
   -3.845307    -4.117552     3.743733
   -6.712303     1.201311     1.163641
    1.993367    18.999400    12.945375
   -5.424076    -8.258939     1.412848
    6.634336     6.072048    -3.595486
    6.362712   -16.569444    -8.720756
    4.483632     3.344047     7.133549
   13.606637    -1.004333    12.995008
    9.636631     6.273984     9.297640
    9.993924    15.310502    21.722637
   13.288315    -2.772904    -3.577325
    5.304027    -5.352576   -10.304520
    2.994425   -10.033036    12.679398
   -8.122394    -1.370368    -2.130794
    1.345247    -4.613314    -7.693178
   11.342528    -4.072283     2.715392
  -15.165702    11.445976    13.433064
   -5.336503     4.760683     5.544163
  -15.022764    21.529642     6.166778
   -4.701532    -1.996180    12.448102
  -10.097608   -21.544761   -20.200538
   -6.315275     4.859795   -11.685450
    3.677443   -12.349522     0.306393
   13.773367     5.086318   -12.375689
    9.143555    14.278012    12.420579
   15.615005    -7.154273     7.455772
   12.426316     9.746676    -5.942091
   15.025820   -11.984952   -15.037809
  -14.143436     9.294329   -16.946199
   -6.217414   -14.692832   -11.738232
  -17.842574    10.650151    -1.894758
    0.423963   -20.071083     2.667848
   -5.549277     2.236275    -5.783055
    3.134319    -0.411549    -1.987439
   -1.637302     3.057052   -14.226489
    9.074024    -0.415440    13.547035
    9.829516    11.776676     4.952475
    6.136153     3.280620     7.100156
    1.921923    -5.832864   -10.357448
   10.163121    -3.425680    -6.408385
   13.817423   -12.176593     0.075010
    2.081287    -6.435753    -6.287771
    6.478345    -2.662564     7.476309
    4.233391    -6.215340    -2.406311
   -1.456718   -11.565491     5.305980
  -19.553710     2.097520    -0.423913
   -8.567603     3.470875    -6.314444
    3.000052     4.314020     9.915495
    5.202052    -5.532018     4.880781
   11.338084   -14.916478     3.652001
   15.437488    12.943602     9.864496
  -11.508621   -14.316579    -6.273738
   -4.421811    -7.624609    -0.779746
   11.239656    -4.368629    13.208160
   12.021397     1.570233     7.022061
    5.975962    -4.631229     4.036349
    1.592844   -11.884172    17.993751
   12.958925    11.393283     3.549399
  -15.662431    14.712624    -9.515135
   -4.381470     0.432227     1.162272
   -0.663731    -5.748772    10.316329
    2.946147   -16.803759     9.206201
   -6.279875    12.366107   -12.339984
    9.204046     3.285240   -10.092655
   -8.440258     2.098072    10.322441
    0.164487    -0.348325     5.502268
    1.769940    -9.813489    12.049466
  -15.374467    -9.608947     9.490238
  -21.090268     6.375055    12.213331
   10.126897   -10.523096    -7.601340
   -1.759478    -4.749984   -15.933899
   -8.154272    -0.399980    14.442169
   -5.974768   -14.428245    -6.472864
   -4.671242    -0.069794    -2.063695
   -9.524175    -5.076588    23.266355
  -11.331760     6.013003    -5.673989
    8.967478    -2.545570    16.054380
   14.051006    13.362304   -14.483788
   -0.827382    -2.452835     5.405630
   -6.113037    -1.616692   -12.851377
   20.871005     3.563971     5.064824
  -10.873808     2.772683    17.006716
  -12.210755    11.987942    -0.421034
  -14.046483    18.783771     6.892122
   -5.987257     7.108940    -7.276927
  -14.032073    19.204170     1.944254
   -9.838807     3.749862    -3.803550
   -8.089546     4.761381    -9.162480
   11.419329    -4.024024     3.529621
    7.567864     3.837981    20.333370
  -15.409037   -21.247176    -5.928085
  -10.714499     8.567712     1.354820
   -8.393840    16.825760    -2.414857
   21.867614     2.858057   -11.337882
   -3.448354   -21.280707     7.320225
   15.769268    -7.953171     5.316786
    2.802922    19.226029     4.159071
    1.913557     5.612454    -4.794409
   -3.554770     1.490986     3.979885
   11.283823   -17.025064    -3.914628
  -10.681819   -11.418810    -0.928100
  -18.860128   -12.719369    12.151314
   10.920449     0.796290   -12.368041
  -13.858565    -3.372018     4.730409
   -1.316204     3.764152     0.893378
    2.347496    -6.992711    -6.831317
    1.969252    -2.234611     1.473851
   13.023815     0.740678    -1.642536
   17.827178   -14.386287    11.803800
   -4.133575     4.977931     7.143631
  -13.098670   -10.166324    11.205710
   -8.404033    12.859772    16.692102
    7.182518    10.061425   -21.450951
  -18.946131    -2.625057     1.380673
   -9.341795   -19.891508    -1.359879
  -14.239668    13.633585    12.863285
  -18.376344    13.416501     2.012402
   -0.243507    -1.037258     4.294029
   13.405784   -17.407943    -6.284926
   14.886941    -6.686604     6.278557
    0.707680   -13.313757   -22.875761
  -16.751249   -10.995868    -4.479059
   -2.705506    18.795366    -6.460739
   -5.639268     5.045647    11.166383
  -10.621648    11.062767     6.669260
   -5.944166   -15.491324    12.149822
   -4.148298   -12.682349     5.239566
  -22.813968     0.713184    -8.840765
   -8.482317     7.548204    -3.002225
   -3.023659   -17.866220     7.897702
   14.671215     2.806703     0.222525
    8.640159     2.012197     3.667290
    3.364475    -1.181995    -1.414565
   -6.407763    -8.185988    13.268291
    1.866288    -4.499136   -18.945563
    7.925042     2.551173    15.019650
   -1.495947    -1.238465    17.155147
  -10.572450    -8.912847   -18.515370
   -0.595273     6.396855    -0.014024
   -0.566229    12.946081    11.799581
   -3.187312   -10.758342     8.969656
   -1.903060    -1.593951     1.123390
    1.162204    13.731859    12.699875
    6.770122     6.666479    17.134758
    0.488246    -8.547674     4.334134
   -8.610928    -0.327332    15.655831
   15.769499     0.600048     2.024341
   14.851707    -0.354372     8.269250
  -17.101365   -14.595322   -11.205034
